Id_Parking,Id_Location,Id_Equipment,TransactionId,TransactionDateStamp,TransactionTimeStamp,TransactionType,TransactionError,TransactionDate,TransactionTime,TicketNumber,Amount,TicketType,CardNumber,SubNumber,PreviousStationAddress,Tariff,RegionCode,Parking,PaymentMethod,IdCashier,IdShift,T2Status,T2RegionCode,T2Parking,T2Date,T2Time,T2Neutral,T2Paid,T2InPark,T2AmountStatus,T2Amount,T2StationAdddress,ValidationIndex,xmlexport,bWithTransExtension,iIdentificationCardType,lActionNumber,sLicencePlateNumber
2,32,1,2218,3/5/2026,11:42:35,40,0,3/5/2026,9:12:50,241069011,375,0,241069011,0,E24,0,0,30,0,0,0,0,41,30,3/5/2026,12:02:50,0,1,1,0,0,E24,0,,FALSE,1,18636,
2,6,1,7399,3/5/2026,11:42:57,30,0,3/5/2026,11:58:53,241069017,0,0,241069017,0,E24,0,0,30,0,0,0,0,41,30,3/5/2026,11:58:53,0,1,1,0,375,E24,0,,FALSE,1,476451,
2,22,1,4595,3/5/2026,11:43:19,33,0,3/5/2026,8:13:28,241068983,525,0,241068983,0,E24,0,0,30,0,0,0,1,41,30,3/5/2026,8:13:28,0,0,1,1,0,E24,0,,FALSE,1,654947,
2,22,1,4597,3/5/2026,11:43:24,30,0,3/5/2026,8:13:28,241068983,525,0,241068983,0,E24,0,0,30,0,0,0,0,41,30,3/5/2026,8:13:28,0,0,1,0,0,E24,0,,FALSE,1,654947,
2,9,1,4494,3/5/2026,11:44:02,40,0,3/5/2026,9:39:46,241069027,375,0,241069027,0,E24,0,0,30,13,0,0,0,41,30,3/5/2026,12:03:46,0,1,1,0,375,E24,0,,FALSE,1,114307,
2,6,1,7416,3/5/2026,11:45:21,33,0,3/5/2026,8:11:00,221028201,600,0,221028201,0,E22,0,0,30,13,0,0,1,41,30,3/5/2026,8:11:00,0,0,0,1,600,A22,0,,FALSE,1,476452,
2,7,1,7047,3/5/2026,11:45:22,33,0,3/5/2026,9:26:35,241069018,375,0,241069018,0,E24,0,0,30,0,0,0,1,41,30,3/5/2026,9:26:35,0,0,1,1,0,E24,0,,FALSE,1,256549,
2,1,1,3502,3/5/2026,11:45:23,20,0,3/5/2026,11:45:14,221028305,0,0,221028305,0,E0,0,41,30,0,0,0,1,41,30,3/5/2026,11:45:14,0,0,1,1,0,E22,0,,FALSE,0,1046589,
2,6,1,7418,3/5/2026,11:45:27,30,0,3/5/2026,8:11:00,221028201,600,0,221028201,0,E22,0,0,30,0,0,0,0,41,30,3/5/2026,8:11:00,0,0,0,0,600,A22,0,,FALSE,1,476452,
2,7,1,7049,3/5/2026,11:45:40,30,0,3/5/2026,9:26:35,241069018,375,0,241069018,0,E24,0,0,30,0,0,0,0,41,30,3/5/2026,9:26:35,0,0,1,0,0,E24,0,,FALSE,1,256549,
2,22,1,4606,3/5/2026,11:46:27,30,0,3/5/2026,12:02:50,241069011,0,0,241069011,0,E24,0,0,30,0,0,0,0,41,30,3/5/2026,12:02:50,0,1,1,0,0,E24,0,,FALSE,1,654948,
2,4,1,1905,3/5/2026,11:47:08,20,0,3/5/2026,11:47:05,241069052,0,0,241069052,0,E0,0,41,30,1,0,0,0,41,30,3/5/2026,11:47:05,0,0,1,0,0,E24,0,,FALSE,2,1733030,
